delta_decoder,T_K,Delta_J,p_best_QEC,E_QEC_J,E_passive_J,winner,E_passive_over_E_QEC
0.5,0.015,1.00e-22,3.00e-04,1.711e-15,8.210e-19,PASSIVE,4.797e-04
0.5,0.015,5.00e-23,3.00e-04,1.711e-15,8.210e-19,PASSIVE,4.797e-04
0.5,0.015,2.00e-23,3.00e-04,1.711e-15,8.210e-19,PASSIVE,4.797e-04
0.5,0.015,1.00e-23,3.00e-04,1.711e-15,8.210e-19,PASSIVE,4.797e-04
0.5,0.1,1.00e-22,3.00e-04,1.711e-15,8.210e-19,PASSIVE,4.797e-04
0.5,0.1,5.00e-23,3.00e-04,1.711e-15,8.210e-19,PASSIVE,4.797e-04
0.5,0.1,2.00e-23,3.00e-04,1.711e-15,1.369e-18,PASSIVE,8.001e-04
0.5,0.1,1.00e-23,3.00e-04,1.711e-15,inf,QEC,inf
0.5,1.0,1.00e-22,3.00e-04,1.711e-15,inf,QEC,inf
0.5,1.0,5.00e-23,3.00e-04,1.711e-15,inf,QEC,inf
0.5,1.0,2.00e-23,3.00e-04,1.711e-15,inf,QEC,inf
0.5,1.0,1.00e-23,3.00e-04,1.711e-15,inf,QEC,inf
0.5,4.0,1.00e-22,3.00e-04,1.711e-15,inf,QEC,inf
0.5,4.0,5.00e-23,3.00e-04,1.711e-15,inf,QEC,inf
0.5,4.0,2.00e-23,3.00e-04,1.711e-15,inf,QEC,inf
0.5,4.0,1.00e-23,3.00e-04,1.711e-15,inf,QEC,inf
1.0,0.015,1.00e-22,3.00e-04,8.557e-16,8.210e-19,PASSIVE,9.595e-04
1.0,0.015,5.00e-23,3.00e-04,8.557e-16,8.210e-19,PASSIVE,9.595e-04
1.0,0.015,2.00e-23,3.00e-04,8.557e-16,8.210e-19,PASSIVE,9.595e-04
1.0,0.015,1.00e-23,3.00e-04,8.557e-16,8.210e-19,PASSIVE,9.595e-04
1.0,0.1,1.00e-22,3.00e-04,8.557e-16,8.210e-19,PASSIVE,9.595e-04
1.0,0.1,5.00e-23,3.00e-04,8.557e-16,8.210e-19,PASSIVE,9.595e-04
1.0,0.1,2.00e-23,3.00e-04,8.557e-16,1.369e-18,PASSIVE,1.600e-03
1.0,0.1,1.00e-23,3.00e-04,8.557e-16,inf,QEC,inf
1.0,1.0,1.00e-22,3.00e-04,8.557e-16,inf,QEC,inf
1.0,1.0,5.00e-23,3.00e-04,8.557e-16,inf,QEC,inf
1.0,1.0,2.00e-23,3.00e-04,8.557e-16,inf,QEC,inf
1.0,1.0,1.00e-23,3.00e-04,8.557e-16,inf,QEC,inf
1.0,4.0,1.00e-22,3.00e-04,8.557e-16,inf,QEC,inf
1.0,4.0,5.00e-23,3.00e-04,8.557e-16,inf,QEC,inf
1.0,4.0,2.00e-23,3.00e-04,8.557e-16,inf,QEC,inf
1.0,4.0,1.00e-23,3.00e-04,8.557e-16,inf,QEC,inf
