p_physical,E_QEC_J,passive_wins
9.1470e-03,inf,1
1.7051e-05,2.0857e-15,1
9.5962e-03,inf,1
6.8348e-05,1.4223e-15,1
2.2366e-04,9.5610e-16,1
7.7817e-05,1.3668e-15,1
6.2073e-05,1.4642e-15,1
3.5990e-05,1.7130e-15,1
6.5000e-05,1.4441e-15,1
1.4762e-03,2.6095e+22,1
3.3968e-05,1.7406e-15,1
2.0340e-03,2.9523e+184,1
9.5523e-03,inf,1
1.8634e-04,1.0218e-15,1
2.6310e-04,8.9964e-16,1
3.2175e-03,inf,1
9.4866e-05,1.2841e-15,1
5.5894e-03,inf,1
2.4425e-04,9.2524e-16,1
7.4241e-04,1.9664e-15,1
2.2690e-03,inf,1
1.4404e-04,1.1183e-15,1
1.3007e-03,1.3918e+03,1
1.5996e-05,2.1193e-15,1
1.4606e-05,2.1675e-15,1
8.1218e-03,inf,1
3.0573e-03,inf,1
1.1987e-05,2.2743e-15,1
8.2567e-04,6.8124e-15,1
1.7365e-05,2.0762e-15,1
4.2159e-05,1.6388e-15,1
4.9000e-03,inf,1
2.2359e-05,1.9463e-15,1
4.1958e-03,inf,1
3.4647e-05,1.7311e-15,1
1.7388e-04,1.0473e-15,1
8.2144e-04,6.2725e-15,1
3.4985e-03,inf,1
4.7380e-03,inf,1
1.3386e-05,2.2143e-15,1
8.8345e-04,2.7253e-14,1
2.9136e-04,8.6531e-16,1
1.4341e-05,2.1773e-15,1
9.6502e-03,inf,1
1.0284e-03,1.6178e-11,1
3.6196e-04,7.9715e-16,1
1.3759e-03,1.3811e+10,1
4.4851e-03,inf,1
1.6411e-03,4.3495e+51,1
4.6480e-04,7.4279e-16,1
8.4890e-04,1.1194e-14,1
6.5536e-04,1.0211e-15,1
4.9826e-03,inf,1
1.5893e-05,2.1227e-15,1
5.9088e-04,8.1788e-16,1
1.2113e-03,7.3304e-04,1
5.4520e-05,1.5217e-15,1
1.9994e-03,2.3817e+168,1
1.0150e-03,7.1820e-12,1
6.8401e-04,1.1997e-15,1
5.3235e-05,1.5324e-15,1
5.8984e-04,8.1599e-16,1
2.0021e-04,9.9570e-16,1
5.0097e-03,inf,1
1.6574e-03,1.7485e+55,1
3.9499e-05,1.6692e-15,1
7.3707e-05,1.3899e-15,1
1.9346e-03,5.9999e+140,1
3.5629e-05,1.7178e-15,1
1.8290e-03,2.0860e+102,1
5.6514e-04,7.7989e-16,1
1.0208e-04,1.2542e-15,1
1.7965e-03,1.0657e+92,1
3.3112e-04,8.2405e-16,1
2.4544e-03,inf,1
8.5094e-05,1.3292e-15,1
2.4105e-04,9.2982e-16,1
9.3625e-05,1.2895e-15,1
1.3607e-05,2.2055e-15,1
8.6282e-05,1.3234e-15,1
3.0291e-05,1.7958e-15,1
7.8890e-03,inf,1
1.0658e-05,2.3389e-15,1
5.3681e-05,1.5286e-15,1
9.3447e-04,1.4953e-13,1
1.3926e-04,1.1313e-15,1
2.0160e-05,1.9990e-15,1
3.1756e-04,8.3727e-16,1
1.6183e-05,2.1132e-15,1
1.4909e-05,2.1566e-15,1
1.0446e-03,4.6306e-11,1
2.6794e-05,1.8559e-15,1
1.0808e-05,2.3312e-15,1
6.7571e-04,1.1396e-15,1
2.8033e-03,inf,1
5.8467e-03,inf,1
9.4292e-03,inf,1
1.3901e-04,1.1320e-15,1
4.9805e-03,inf,1
2.4020e-05,1.9102e-15,1
3.4330e-03,inf,1
1.1790e-05,2.2833e-15,1
3.7656e-04,7.8595e-16,1
9.6141e-04,4.5691e-13,1
2.7957e-03,inf,1
2.8577e-04,8.7175e-16,1
